original,original2,bim,bim_entropy,label_true,entropy
mturk/data/ILSVRC2012_val_000037442859.png,mturk/data/ILSVRC2012_val_000037442861.png,mturk/data/ILSVRC2012_val_000037442858.png,mturk/data/ILSVRC2012_val_000037442860.png,759,3.7251401004852
mturk/data/ILSVRC2012_val_000162402208.png,mturk/data/ILSVRC2012_val_000162402210.png,mturk/data/ILSVRC2012_val_000162402207.png,mturk/data/ILSVRC2012_val_000162402209.png,281,3.37658797268735
mturk/data/ILSVRC2012_val_00033420397.png,mturk/data/ILSVRC2012_val_00033420399.png,mturk/data/ILSVRC2012_val_00033420396.png,mturk/data/ILSVRC2012_val_00033420398.png,281,3.90702892646693
mturk/data/ILSVRC2012_val_000201363805.png,mturk/data/ILSVRC2012_val_000201363807.png,mturk/data/ILSVRC2012_val_000201363804.png,mturk/data/ILSVRC2012_val_000201363806.png,281,3.19022519757345
mturk/data/ILSVRC2012_val_000300521064.png,mturk/data/ILSVRC2012_val_000300521066.png,mturk/data/ILSVRC2012_val_000300521063.png,mturk/data/ILSVRC2012_val_000300521065.png,281,3.31394674654121
mturk/data/ILSVRC2012_val_000049673142.png,mturk/data/ILSVRC2012_val_000049673144.png,mturk/data/ILSVRC2012_val_000049673141.png,mturk/data/ILSVRC2012_val_000049673143.png,250,3.98600762123796
mturk/data/ILSVRC2012_val_000416492443.png,mturk/data/ILSVRC2012_val_000416492445.png,mturk/data/ILSVRC2012_val_000416492442.png,mturk/data/ILSVRC2012_val_000416492444.png,250,3.25687560821772
mturk/data/ILSVRC2012_val_000217363004.png,mturk/data/ILSVRC2012_val_000217363006.png,mturk/data/ILSVRC2012_val_000217363003.png,mturk/data/ILSVRC2012_val_000217363005.png,250,3.90432643020688
mturk/data/ILSVRC2012_val_000362481617.png,mturk/data/ILSVRC2012_val_000362481619.png,mturk/data/ILSVRC2012_val_000362481616.png,mturk/data/ILSVRC2012_val_000362481618.png,250,4.18668115841522
mturk/data/ILSVRC2012_val_00008217611.png,mturk/data/ILSVRC2012_val_00008217613.png,mturk/data/ILSVRC2012_val_00008217610.png,mturk/data/ILSVRC2012_val_00008217612.png,228,4.32415935302719
mturk/data/ILSVRC2012_val_000075341908.png,mturk/data/ILSVRC2012_val_000075341910.png,mturk/data/ILSVRC2012_val_000075341907.png,mturk/data/ILSVRC2012_val_000075341909.png,228,3.28487637420532
mturk/data/ILSVRC2012_val_000435112412.png,mturk/data/ILSVRC2012_val_000435112414.png,mturk/data/ILSVRC2012_val_000435112411.png,mturk/data/ILSVRC2012_val_000435112413.png,228,3.39057756706485
mturk/data/ILSVRC2012_val_000468361949.png,mturk/data/ILSVRC2012_val_000468361951.png,mturk/data/ILSVRC2012_val_000468361948.png,mturk/data/ILSVRC2012_val_000468361950.png,228,3.43084848645854
mturk/data/ILSVRC2012_val_00017634869.png,mturk/data/ILSVRC2012_val_00017634871.png,mturk/data/ILSVRC2012_val_00017634868.png,mturk/data/ILSVRC2012_val_00017634870.png,142,3.94437362534914
mturk/data/ILSVRC2012_val_000468922319.png,mturk/data/ILSVRC2012_val_000468922321.png,mturk/data/ILSVRC2012_val_000468922318.png,mturk/data/ILSVRC2012_val_000468922320.png,142,2.64527253295237
mturk/data/ILSVRC2012_val_000208043030.png,mturk/data/ILSVRC2012_val_000208043032.png,mturk/data/ILSVRC2012_val_000208043029.png,mturk/data/ILSVRC2012_val_000208043031.png,142,3.03386843009836
mturk/data/ILSVRC2012_val_000359723074.png,mturk/data/ILSVRC2012_val_000359723076.png,mturk/data/ILSVRC2012_val_000359723073.png,mturk/data/ILSVRC2012_val_000359723075.png,142,4.30708968564047
mturk/data/ILSVRC2012_val_000347151758.png,mturk/data/ILSVRC2012_val_000347151760.png,mturk/data/ILSVRC2012_val_000347151757.png,mturk/data/ILSVRC2012_val_000347151759.png,754,4.40875858473525
mturk/data/ILSVRC2012_val_000354602229.png,mturk/data/ILSVRC2012_val_000354602231.png,mturk/data/ILSVRC2012_val_000354602228.png,mturk/data/ILSVRC2012_val_000354602230.png,754,4.42338081252625
mturk/data/ILSVRC2012_val_00033549626.png,mturk/data/ILSVRC2012_val_00033549628.png,mturk/data/ILSVRC2012_val_00033549625.png,mturk/data/ILSVRC2012_val_00033549627.png,754,4.37789267078904
mturk/data/ILSVRC2012_val_000387851443.png,mturk/data/ILSVRC2012_val_000387851445.png,mturk/data/ILSVRC2012_val_000387851442.png,mturk/data/ILSVRC2012_val_000387851444.png,754,4.21560213198518
mturk/data/ILSVRC2012_val_000314352047.png,mturk/data/ILSVRC2012_val_000314352049.png,mturk/data/ILSVRC2012_val_000314352046.png,mturk/data/ILSVRC2012_val_000314352048.png,104,3.13276763930691
mturk/data/ILSVRC2012_val_000276573828.png,mturk/data/ILSVRC2012_val_000276573830.png,mturk/data/ILSVRC2012_val_000276573827.png,mturk/data/ILSVRC2012_val_000276573829.png,104,4.18091389200643
mturk/data/ILSVRC2012_val_000087362253.png,mturk/data/ILSVRC2012_val_000087362255.png,mturk/data/ILSVRC2012_val_000087362252.png,mturk/data/ILSVRC2012_val_000087362254.png,104,3.95985019262479
mturk/data/ILSVRC2012_val_000289121841.png,mturk/data/ILSVRC2012_val_000289121843.png,mturk/data/ILSVRC2012_val_000289121840.png,mturk/data/ILSVRC2012_val_000289121842.png,104,3.54247133265541
mturk/data/ILSVRC2012_val_000083562698.png,mturk/data/ILSVRC2012_val_000083562700.png,mturk/data/ILSVRC2012_val_000083562697.png,mturk/data/ILSVRC2012_val_000083562699.png,692,2.89237178850664
mturk/data/ILSVRC2012_val_00003796500.png,mturk/data/ILSVRC2012_val_00003796502.png,mturk/data/ILSVRC2012_val_00003796499.png,mturk/data/ILSVRC2012_val_00003796501.png,692,3.7987904276184
mturk/data/ILSVRC2012_val_00044365304.png,mturk/data/ILSVRC2012_val_00044365306.png,mturk/data/ILSVRC2012_val_00044365303.png,mturk/data/ILSVRC2012_val_00044365305.png,692,3.91773991901642
mturk/data/ILSVRC2012_val_000117702626.png,mturk/data/ILSVRC2012_val_000117702628.png,mturk/data/ILSVRC2012_val_000117702625.png,mturk/data/ILSVRC2012_val_000117702627.png,692,3.23182988975292
mturk/data/ILSVRC2012_val_000165252235.png,mturk/data/ILSVRC2012_val_000165252237.png,mturk/data/ILSVRC2012_val_000165252234.png,mturk/data/ILSVRC2012_val_000165252236.png,758,4.27486225391996
mturk/data/ILSVRC2012_val_000044161770.png,mturk/data/ILSVRC2012_val_000044161772.png,mturk/data/ILSVRC2012_val_000044161769.png,mturk/data/ILSVRC2012_val_000044161771.png,758,4.11015127882313
mturk/data/ILSVRC2012_val_000363262619.png,mturk/data/ILSVRC2012_val_000363262621.png,mturk/data/ILSVRC2012_val_000363262618.png,mturk/data/ILSVRC2012_val_000363262620.png,758,2.52773848460843
mturk/data/ILSVRC2012_val_000416674131.png,mturk/data/ILSVRC2012_val_000416674133.png,mturk/data/ILSVRC2012_val_000416674130.png,mturk/data/ILSVRC2012_val_000416674132.png,758,4.38462838599313
mturk/data/ILSVRC2012_val_000137933800.png,mturk/data/ILSVRC2012_val_000137933802.png,mturk/data/ILSVRC2012_val_000137933799.png,mturk/data/ILSVRC2012_val_000137933801.png,913,3.81781442004455
mturk/data/ILSVRC2012_val_000427722211.png,mturk/data/ILSVRC2012_val_000427722213.png,mturk/data/ILSVRC2012_val_000427722210.png,mturk/data/ILSVRC2012_val_000427722212.png,913,3.165579538458
mturk/data/ILSVRC2012_val_000163512062.png,mturk/data/ILSVRC2012_val_000163512064.png,mturk/data/ILSVRC2012_val_000163512061.png,mturk/data/ILSVRC2012_val_000163512063.png,913,2.84536643552223
mturk/data/ILSVRC2012_val_000459742194.png,mturk/data/ILSVRC2012_val_000459742196.png,mturk/data/ILSVRC2012_val_000459742193.png,mturk/data/ILSVRC2012_val_000459742195.png,913,2.73876301018165
mturk/data/ILSVRC2012_val_000403693551.png,mturk/data/ILSVRC2012_val_000403693553.png,mturk/data/ILSVRC2012_val_000403693550.png,mturk/data/ILSVRC2012_val_000403693552.png,558,3.65355129647108
mturk/data/ILSVRC2012_val_000435623313.png,mturk/data/ILSVRC2012_val_000435623315.png,mturk/data/ILSVRC2012_val_000435623312.png,mturk/data/ILSVRC2012_val_000435623314.png,558,3.4666717127551
mturk/data/ILSVRC2012_val_000236101838.png,mturk/data/ILSVRC2012_val_000236101840.png,mturk/data/ILSVRC2012_val_000236101837.png,mturk/data/ILSVRC2012_val_000236101839.png,558,3.32122573604251
mturk/data/ILSVRC2012_val_000018964216.png,mturk/data/ILSVRC2012_val_000018964218.png,mturk/data/ILSVRC2012_val_000018964215.png,mturk/data/ILSVRC2012_val_000018964217.png,558,3.87867301214178
mturk/data/ILSVRC2012_val_00028007786.png,mturk/data/ILSVRC2012_val_00028007788.png,mturk/data/ILSVRC2012_val_00028007785.png,mturk/data/ILSVRC2012_val_00028007787.png,89,2.99966843092274
mturk/data/ILSVRC2012_val_00044363427.png,mturk/data/ILSVRC2012_val_00044363429.png,mturk/data/ILSVRC2012_val_00044363426.png,mturk/data/ILSVRC2012_val_00044363428.png,89,3.86467519270688
mturk/data/ILSVRC2012_val_00003068940.png,mturk/data/ILSVRC2012_val_00003068942.png,mturk/data/ILSVRC2012_val_00003068939.png,mturk/data/ILSVRC2012_val_00003068941.png,89,2.89006080114307
mturk/data/ILSVRC2012_val_000426651352.png,mturk/data/ILSVRC2012_val_000426651354.png,mturk/data/ILSVRC2012_val_000426651351.png,mturk/data/ILSVRC2012_val_000426651353.png,89,3.15626347120904
mturk/data/ILSVRC2012_val_000441783500.png,mturk/data/ILSVRC2012_val_000441783502.png,mturk/data/ILSVRC2012_val_000441783499.png,mturk/data/ILSVRC2012_val_000441783501.png,604,3.91229079578611
mturk/data/ILSVRC2012_val_00006241562.png,mturk/data/ILSVRC2012_val_00006241564.png,mturk/data/ILSVRC2012_val_00006241561.png,mturk/data/ILSVRC2012_val_00006241563.png,604,3.90960138024097
mturk/data/ILSVRC2012_val_000061193168.png,mturk/data/ILSVRC2012_val_000061193170.png,mturk/data/ILSVRC2012_val_000061193167.png,mturk/data/ILSVRC2012_val_000061193169.png,604,4.46784511502843
mturk/data/ILSVRC2012_val_000077163876.png,mturk/data/ILSVRC2012_val_000077163878.png,mturk/data/ILSVRC2012_val_000077163875.png,mturk/data/ILSVRC2012_val_000077163877.png,604,1.77950217170471
mturk/data/ILSVRC2012_val_000312182101.png,mturk/data/ILSVRC2012_val_000312182103.png,mturk/data/ILSVRC2012_val_000312182100.png,mturk/data/ILSVRC2012_val_000312182102.png,432,3.61920390206983
mturk/data/ILSVRC2012_val_00012019136.png,mturk/data/ILSVRC2012_val_00012019138.png,mturk/data/ILSVRC2012_val_00012019135.png,mturk/data/ILSVRC2012_val_00012019137.png,432,2.90039061888018
mturk/data/ILSVRC2012_val_00033629980.png,mturk/data/ILSVRC2012_val_00033629982.png,mturk/data/ILSVRC2012_val_00033629979.png,mturk/data/ILSVRC2012_val_00033629981.png,432,4.30259119762465
mturk/data/ILSVRC2012_val_000120622227.png,mturk/data/ILSVRC2012_val_000120622229.png,mturk/data/ILSVRC2012_val_000120622226.png,mturk/data/ILSVRC2012_val_000120622228.png,432,3.2275773185593
mturk/data/ILSVRC2012_val_000019382828.png,mturk/data/ILSVRC2012_val_000019382830.png,mturk/data/ILSVRC2012_val_000019382827.png,mturk/data/ILSVRC2012_val_000019382829.png,32,4.46483484987924
mturk/data/ILSVRC2012_val_000435242446.png,mturk/data/ILSVRC2012_val_000435242448.png,mturk/data/ILSVRC2012_val_000435242445.png,mturk/data/ILSVRC2012_val_000435242447.png,32,4.39258289580019
mturk/data/ILSVRC2012_val_000074371337.png,mturk/data/ILSVRC2012_val_000074371339.png,mturk/data/ILSVRC2012_val_000074371336.png,mturk/data/ILSVRC2012_val_000074371338.png,32,3.84046065806177
mturk/data/ILSVRC2012_val_0003947868.png,mturk/data/ILSVRC2012_val_0003947870.png,mturk/data/ILSVRC2012_val_0003947867.png,mturk/data/ILSVRC2012_val_0003947869.png,32,4.53876877656351
mturk/data/ILSVRC2012_val_000209162199.png,mturk/data/ILSVRC2012_val_000209162201.png,mturk/data/ILSVRC2012_val_000209162198.png,mturk/data/ILSVRC2012_val_000209162200.png,30,3.5702653116069
mturk/data/ILSVRC2012_val_000303424142.png,mturk/data/ILSVRC2012_val_000303424144.png,mturk/data/ILSVRC2012_val_000303424141.png,mturk/data/ILSVRC2012_val_000303424143.png,30,3.48588500524334
mturk/data/ILSVRC2012_val_000491191505.png,mturk/data/ILSVRC2012_val_000491191507.png,mturk/data/ILSVRC2012_val_000491191504.png,mturk/data/ILSVRC2012_val_000491191506.png,30,3.73786973165577
mturk/data/ILSVRC2012_val_00032061913.png,mturk/data/ILSVRC2012_val_00032061915.png,mturk/data/ILSVRC2012_val_00032061912.png,mturk/data/ILSVRC2012_val_00032061914.png,30,3.70438130025768
mturk/data/ILSVRC2012_val_000072842486.png,mturk/data/ILSVRC2012_val_000072842488.png,mturk/data/ILSVRC2012_val_000072842485.png,mturk/data/ILSVRC2012_val_000072842487.png,95,2.18942582248007
mturk/data/ILSVRC2012_val_000036724200.png,mturk/data/ILSVRC2012_val_000036724202.png,mturk/data/ILSVRC2012_val_000036724199.png,mturk/data/ILSVRC2012_val_000036724201.png,95,3.319706368108
mturk/data/ILSVRC2012_val_000214551671.png,mturk/data/ILSVRC2012_val_000214551673.png,mturk/data/ILSVRC2012_val_000214551670.png,mturk/data/ILSVRC2012_val_000214551672.png,95,3.7301014194786
mturk/data/ILSVRC2012_val_000384183105.png,mturk/data/ILSVRC2012_val_000384183107.png,mturk/data/ILSVRC2012_val_000384183104.png,mturk/data/ILSVRC2012_val_000384183106.png,95,2.79344775782292
